;Año,Mes,Armerillo
1980,4,10.7
1980,5,9.1
1980,6,7.8
1980,7,7.8
1980,8,9.5
1980,9,11.3
1980,10,13
1980,11,15.6
1980,12,18.9
1981,1,19.1
1981,2,20.4
1981,3,18.44938643
1981,4,14.67098991
1981,5,11.6
1981,6,9.1
1981,7,9.2
1981,8,9.2
1981,9,11.1
1981,10,12.2
1981,11,16.2
1981,12,19.7
1982,1,20.7
1982,2,20
1982,3,18.4
1982,4,15.6
1982,5,10.5
1982,6,6.3
1982,7,10.15559275
1982,8,9.9
1982,9,10.8
1982,10,12.3
1982,11,14.3
1982,12,18.6
1983,1,18.8
1983,2,14.8
1983,3,15.9
1983,4,12.1
1983,5,9.2
1983,6,6.6
1983,7,7.6
1983,8,9
1983,9,9.3
1983,10,13.3
1983,11,18.1
1983,12,20.7
1984,1,20.6
1984,2,18.9
1984,3,16.9
1984,4,13.1
1984,5,6
1984,6,4.3
1984,7,6
1984,8,8.1
1984,9,10.6
1984,10,12.4
1984,11,14.1
1984,12,18.2
1985,1,19.7
1985,2,19.31342563
1985,3,17.28937916
1985,4,10.9
1985,5,10.7
1985,6,12.1
1985,7,9
1985,8,9.5
1985,9,12
1985,10,12.2
1985,11,16.6
1985,12,19.4
1986,1,20.4
1986,2,18.4
1986,3,14.8
1986,4,10.7
1986,5,7.9
1986,6,5.5
1986,7,7.2
1986,8,6.9
1986,9,7.7
1986,10,11.2
1986,11,11.5
1986,12,15.8
1987,1,18.1
1987,2,18.9
1987,3,15.5
1987,4,10.8
1987,5,6.6
1987,6,6.1
1987,7,6.9
1987,8,8.4
1987,9,9.8
1987,10,11.6
1987,11,15.5
1987,12,17.2
1988,1,18.5
1988,2,18.3
1988,3,13.9
1988,4,11.6
1988,5,7
1988,6,7.3
1988,7,8.2
1988,8,8.5
1988,9,10.3
1988,10,12.6
1988,11,17.7
1988,12,19.6
1989,1,22.6
1989,2,22.4
1989,3,18.7
1989,4,14.6
1989,5,10.8
1989,6,9.7
1989,7,9.8
1989,8,8.5
1989,9,11.3
